ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,12473.368119144863,2.7357383578944297
4,conventional_steam_coal,2,13567.68,13567.68,0.0,14.498017802378637,5065.791816959998,1.111061651864027
5,natural_gas_fired_combined_cycle,2,36269.22,36734.21,-464.98999999999796,38.756205721124566,3591.7910755200014,0.7877744427153659
6,natural_gas_fired_combustion_turbine,2,4639.139999999999,4704.48,-65.34000000000015,4.957246508447046,501.18511211999987,0.10992310357038541
7,natural_gas_steam_turbine,2,894.8,1118.5,-223.70000000000005,0.9561565668978339,1531.860023428801,0.33597727454118764
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,10333.0425,2.266308542406857
9,onshore_wind_turbine,2,6979.000000000001,6979.0,9.094947017729282e-13,7.457551050938741,18093.0135323,3.9682746999380245
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,874.2342496499999,0.19174261095378672
12,conventional_steam_coal,3,650.0,650.0,0.0,0.6945705950867145,3241.384253572696,0.7109209918661299
13,natural_gas_fired_combined_cycle,3,3182.53,3427.34,-244.80999999999995,3.4007565476635713,1320.6517919477415,0.28965374309029407
14,natural_gas_fired_combustion_turbine,3,1115.04,1207.96,-92.92000000000007,1.1914984559161386,486.4158445472824,0.10668381395504295
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,20580.419021051042,4.513828277946262
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,119.19969875000001,0.026143635384200635
17,naturalgas_ccccsavgcf,1,500.0,0.0,500.0,0.5342850731436265,3216.8670719911925,0.705543727807272
18,naturalgas_ccavgcf,1,500.0,0.0,500.0,0.5342850731436265,2102.6351654756413,0.461163305684894
19,naturalgas_ctavgcf,1,100.0,0.0,100.0,0.1068570146287253,438.78,0.09623601782701278
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
23,utilitypv_losangeles,1,12882.707536912534,0.0,12882.707536912534,13.766076677294523,33210.76313563223,7.283995608663572
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
26,utilitypv_losangeles,1,-0.0,0.0,-0.0,-0.0,2.8075706011251257e-13,6.15774224942966e-17
27,battery,1,5894.7473745700245,0.0,5894.7473745700245,6.298951064370692,10027.412453651054,2.199275818515823
28,naturalgas_ccs100,1,500.0,0.0,500.0,0.5342850731436265,3154.8,0.691930783173025
29,naturalgas_ccccsavgcf,2,500.0,0.0,500.0,0.5342850731436265,3993.6,0.8759017293266745
30,naturalgas_ccavgcf,2,500.0,0.0,500.0,0.5342850731436265,3871.8785177025375,0.8492050003501738
31,naturalgas_ctavgcf,2,100.0,0.0,100.0,0.1068570146287253,709.47,0.15560546872631104
32,landbasedwind_ltrg1,2,1848.0550000000003,0.0,1848.0550000000003,1.9747764016968896,6267.390420725499,1.374603893198843
33,landbasedwind_ltrg1,2,2552.931,0.0,2552.931,2.727985852131263,8256.8694218355,1.8109490698643465
34,landbasedwind_ltrg1,2,2288.25,0.0,2288.25,2.4451556372418066,6035.245874325,1.3236884761200283
35,offshorewind_otrg3,2,842.5,0.0,842.5,0.9002703482470107,3348.6136429999997,0.7344392229443598
36,offshorewind_otrg3,2,1330.0,0.0,1330.0,1.4211982945620465,5488.414974,1.203754048224413
37,offshorewind_otrg3,2,1520.0,0.0,1520.0,1.6242266223566246,6254.3364,1.3717408024215667
38,utilitypv_losangeles,2,41431.5,0.0,41431.5,44.272464015900326,107693.53206944389,23.62002979189793
39,utilitypv_losangeles,2,32915.25,0.0,32915.25,35.17225350758151,83901.12366015003,18.401727590739327
40,battery,2,43481.97105690001,0.0,43481.97105690001,46.46353617312975,61290.01042674099,13.442514554094636
41,naturalgas_ccs100,2,500.0,0.0,500.0,0.5342850731436265,3932.1755284893,0.8624297239132132
42,naturalgas_ccccsavgcf,3,500.0,0.0,500.0,0.5342850731436265,3223.1804518453973,0.7069284183952613
43,naturalgas_ccavgcf,3,500.0,0.0,500.0,0.5342850731436265,2131.819648903255,0.467564232043005
44,naturalgas_ctavgcf,3,100.0,0.0,100.0,0.1068570146287253,438.78,0.09623601782701278
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
47,landbasedwind_ltrg1,3,6573.825,0.0,6573.825,7.0245931419168,20549.412803069816,4.507027797189643
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
50,landbasedwind_ltrg1,3,637.0462862547678,0.0,637.0462862547678,0.6807286432950085,1788.0276149760432,0.392161578535999
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
52,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0
53,utilitypv_losangeles,3,8817.900543906246,0.0,8817.900543906246,9.422545274148344,17715.218436506275,3.8854142788300363
54,battery,3,4000.4903729886487,0.0,4000.4903729886487,4.274804583085228,5466.6318440452915,1.1989764337418716
55,naturalgas_ccs100,3,500.0,0.0,500.0,0.5342850731436265,3137.686891873705,0.6881774275535398
